#{"t_start": 1622997207.5415936, "env_id": null}
r,l,t
14665,912,49.663982
-23990,1597,142.081181
-15875,1056,201.692183
-41450,2761,359.068737
-15965,1062,418.903121
22480,1433,498.583626
-33095,2204,624.045886
-32805,2770,780.362556
13765,852,827.33987
-31585,2158,948.934615
-24545,1634,1042.466096
-36275,2772,1202.306456
-15400,2847,1364.38748
-35960,2395,1500.324359
5410,295,1516.927454
5215,282,1533.232917
-38430,2897,1697.461916
-24140,1607,1790.180992
12880,841,1836.21299
-24410,1625,1928.246988
-15545,1034,1987.696851
-32480,2163,2111.802469
-15410,1025,2170.614544
-24035,1600,2263.737046
-32510,2165,2389.988696
5305,288,2406.488654
-24065,1602,2499.108948
-23960,1595,2590.762971
-31955,2128,2715.172125
-32615,2172,2840.269014
-24140,1607,2931.402641
-32735,2180,3056.147088
-15515,1032,3115.316803
-15920,1059,3174.96345
-24335,1620,3267.098937
-40865,2722,3422.679514
-15845,1054,3483.733375
-32825,2186,3609.713085
-34130,2273,3738.893692
16745,1422,3818.416081
-33005,2198,3945.087543
-41585,2770,4102.433817
-24095,1604,4195.069737
-26435,2780,4353.326279
-15830,1053,4414.387963
-24815,1652,4509.487324
-12140,2223,4635.86335
1000,1,4635.926397
22645,1444,4718.38213
-33215,2212,4844.315109
17050,1447,4925.881071
-32870,2189,5050.789742
-32855,2188,5172.855178
-15980,1063,5232.925428
-15950,1061,5292.515225
-24365,1622,5383.526575
-33140,2207,5509.913908
-15920,1059,5570.111834
-41615,2772,5727.542817
5290,287,5744.015038
-33215,2212,5868.696823
1000,1,5868.760623
-26160,2775,6028.893409
-24380,1623,6122.005664
-15860,1055,6182.447289
-16010,1065,6242.867192
-24440,1627,6337.165483
-37510,2789,6496.756535
-41480,2763,6655.275273
-24365,1622,6748.691599
-15635,1040,6808.098655
-41240,2747,6966.015331
-33110,2205,7092.470714
-33095,2204,7218.970664
-15800,1051,7279.135543
-33295,2764,7438.014491
-32795,2184,7560.710117
-24065,1602,7651.823839
-33260,2215,7777.968493
13945,864,7827.830648
-15875,1056,7887.173251
-26345,1754,7987.083893
-32785,2206,8113.248347
-16430,1093,8174.889867
-24885,2802,8334.982174
-16235,1080,8397.637771
1000,1,8397.700128
14005,874,8447.231528
-15800,1051,8507.205514
-25010,1665,8602.675728
-8195,2910,8765.95852
-33560,2811,8924.018069
-42920,2859,9086.045252
-24785,1650,9177.680847
5335,290,9193.8206
-16100,1071,9253.249284
-41960,2795,9411.461797
5380,293,9426.970237
-35745,2810,9585.029269
-42125,2806,9744.567827
1000,1,9744.637496
-41915,2792,9902.163617
-34640,2823,10061.253047
-24830,1653,10155.626791
-42020,2799,10313.164875
-16040,1067,10373.96218
-33455,2228,10501.069191
-16130,1073,10561.25648
22705,1448,10642.543297
-15965,1062,10703.606635
-16070,1069,10764.558315
-36005,2786,10923.7906
-24650,1641,11016.001403
22630,1443,11095.166628
-42320,2819,11254.420459
11970,871,11302.151806
1000,1,11302.213722
-15875,1056,11362.491421
